Individual statistics:

RubiChess-2021_x86-64-bmi2    :   4 (+  0,=  1,-  3), 12.5 %
Dragon-2.6-64bit-avx2         :   4 (+  0,=  3,-  1), 37.5 %
Houdini 6.03 Pro x64_pext     :   2 (+  2,=  0,-  0), 100.0 %
LeelaCUDNN                    :   3 (+  0,=  3,-  0), 50.0 %
RofChade_bmi2                 :   3 (+  2,=  1,-  0), 83.3 %
Seer_v2.4_x64_avx2_popcnt     :   3 (+  1,=  2,-  0), 66.7 %
Wasp520-windows-avx           :   3 (+  2,=  1,-  0), 83.3 %
Houdini_6.0.2_Pro_x64-pext    :   3 (+  0,=  3,-  0), 50.0 %

10 Koivisto_7.0-x64-windows-avx2: 3329   86 (+ 33,= 35,- 18), 58.7 %

Stockfish_14.1_win_x64_avx2   :   4 (+  0,=  4,-  0), 50.0 %
Deep Rybka 4 x64              :   1 (+  1,=  0,-  0), 100.0 %
Robboh6SSE4.2                 :   1 (+  1,=  0,-  0), 100.0 %
Lc0                           :   1 (+  0,=  1,-  0), 50.0 %
Critter_1.6_64bit             :   1 (+  1,=  0,-  0), 100.0 %
Arasanx-64-avx2               :   4 (+  2,=  2,-  0), 75.0 %
Xiphos-0.6-w64-bmi2           :   4 (+  3,=  1,-  0), 87.5 %
Vajolet2_2.8_bmi              :   1 (+  1,=  0,-  0), 100.0 %
Berserk-8.5.1-x64-avx2-pext   :   4 (+  0,=  3,-  1), 37.5 %
Booot6_popcnt                 :   4 (+  2,=  2,-  0), 75.0 %
SugaR AI 2.40 64              :   2 (+  0,=  0,-  2),  0.0 %
Slow64-avx2                   :   4 (+  1,=  2,-  1), 50.0 %
Counter-4.0-windows-amd64     :   1 (+  1,=  0,-  0), 100.0 %
Nemorino_6.00_win64_avx2      :   4 (+  1,=  1,-  2), 37.5 %
Dragon-64bit-avx2             :   1 (+  0,=  0,-  1),  0.0 %
ShashChess20.2-x86-64-avx2    :   2 (+  0,=  2,-  0), 50.0 %
Drofa_3.2.0_popcnt            :   1 (+  1,=  0,-  0), 100.0 %
Weiss-pext                    :   4 (+  3,=  1,-  0), 87.5 %
Ethereal-avx2                 :   4 (+  1,=  2,-  1), 50.0 %
FatFritz2                     :   4 (+  0,=  0,-  4),  0.0 %
Fire_8.11_x64_popc            :   4 (+  1,=  1,-  2), 37.5 %
Gull 3 x64 BMI2               :   1 (+  1,=  0,-  0), 100.0 %
Houdini 6.03 Pro x64_popc     :   1 (+  1,=  0,-  0), 100.0 %
Igel-x64_bmi2_avx2_3_0_5      :   3 (+  1,=  2,-  0), 66.7 %
RubiChess-2021_x86-64-bmi2    :   5 (+  3,=  1,-  1), 70.0 %
Dragon-2.6-64bit-avx2         :   3 (+  0,=  2,-  1), 33.3 %
Houdini 6.03 Pro x64_pext     :   2 (+  2,=  0,-  0), 100.0 %
LeelaCUDNN                    :   3 (+  0,=  2,-  1), 33.3 %
RofChade_bmi2                 :   3 (+  2,=  1,-  0), 83.3 %
Seer_v2.4_x64_avx2_popcnt     :   3 (+  1,=  1,-  1), 50.0 %
Wasp520-windows-avx           :   3 (+  2,=  1,-  0), 83.3 %
Houdini_6.0.2_Pro_x64-pext    :   3 (+  0,=  3,-  0), 50.0 %

11 RubiChess-2021_x86-64-bmi2: 3319   82 (+ 36,= 24,- 22), 58.5 %

Stockfish_14.1_win_x64_avx2   :   4 (+  0,=  1,-  3), 12.5 %
Deep Rybka 4 x64              :   1 (+  1,=  0,-  0), 100.0 %
Robboh6SSE4.2                 :   1 (+  1,=  0,-  0), 100.0 %
Lc0                           :   1 (+  1,=  0,-  0), 100.0 %
Critter_1.6_64bit             :   1 (+  1,=  0,-  0), 100.0 %
Arasanx-64-avx2               :   4 (+  1,=  3,-  0), 62.5 %
Xiphos-0.6-w64-bmi2           :   5 (+  3,=  1,-  1), 70.0 %
Vajolet2_2.8_bmi              :   1 (+  1,=  0,-  0), 100.0 %
Berserk-8.5.1-x64-avx2-pext   :   3 (+  0,=  1,-  2), 16.7 %
Booot6_popcnt                 :   3 (+  1,=  1,-  1), 50.0 %
SugaR AI 2.40 64              :   1 (+  0,=  1,-  0), 50.0 %
